Tipo,Año Fab.,Marca,Modelo,Versión,Tasación,Valor Permiso,Antigüedad_Veh
SUV,2020,CHERY,TIGGO 2,L MT,6100000,91413,3
SUV,2020,SSANGYONG,REXTON,2.2 EN 4X4,18627055,525877,3
Camioneta,2020,SSANGYONG,MUSSO,2.2 4X4 MT SEMIFULLIDO,16434194,438162,3
Camioneta,2020,SSANGYONG,MUSSO,2.2 4X4 COMPLETO,18727968,529913,3
SUV,2020,SSANGYONG,REXTON,2.0 MT 4X2 ESTÁNDAR,14270000,351595,3
SUV,2020,SSANGYONG,KORANDO,2.2 MT 4X2 COMPLETO,12745516,290615,3
Camioneta,2020,SSANGYONG,GRAN MUSSO,2.2 EN 4X2,14903997,376954,3
SUV,2020,SSANGYONG,STAVIC,4X2 EN,16870000,455595,3
SUV,2020,SSANGYONG,REXTON,2.2 EN 4X4 LIMITADO,22698542,700273,3
SUV,2020,SSANGYONG,TIVOLI,4X2 MT STD,10500000,223240,3
Camioneta,2020,SSANGYONG,A. DEPORTES,2.2 MT SEMI COMPLETO,12810000,293195,3
Camioneta,2020,SSANGYONG,A. DEPORTES,4X2 AC,11440000,251440,3
Camioneta,2020,SSANGYONG,A. DEPORTES,MT 4X2 AA,10517889,223776,3
SUV,2020,SSANGYONG,REXTON,2.2 MT 4X2 STD,15790000,412395,3
SUV,2020,SSANGYONG,REXTON,4X4 COMPLETO,18900000,536795,3
Camioneta,2020,SSANGYONG,A. DEPORTES,2.2 EN 4X4 COMPLETO,17340000,474395,3
Camioneta,2020,SSANGYONG,GRAN MUSSO,2.2 MT 4X2,14085178,344202,3
VAN,2020,SSANGYONG,STAVIC,2.2 AWD COMPLETO,18480000,519995,3
VAN,2020,SSANGYONG,STAVIC,ST 210,16726186,449842,3
SUV,2020,SSANGYONG,REXTON,2.2 MT 4X4 COMPLETO,15630000,405995,3
Camioneta,2020,SSANGYONG,GRAN MUSSO,2.2 4X2 MT COMPLETO,11050045,239741,3
SUV,2020,SSANGYONG,TIVOLI,"1,6 MT DE GAS LLENO",11220000,244840,3
SUV,2020,SSANGYONG,TIVOLI,4X2 EN STD,11010000,238540,3
Comercial,2012,FÍAT,UNO,CARGO MT,2223745,25489,11
Comercial,2012,FÍAT,FIORINO,CIUDAD,2523997,25489,11
VAN,2012,FÍAT,DUCATO,MAXI CARGO L3H2 2AB,6230239,95147,11
Comercial,2012,FÍAT,FIORINO,CIUDAD DIESEL P. LATERAL,3199565,33405,11
Camioneta,2012,FÍAT,STRADA,1.6 D / C MT AVENTURA,3809453,45602,11
Hatchback,2012,FÍAT,CINQUECENTO,500 DEPORTE 1.4 MT,3490435,39222,11
Hatchback,2012,FÍAT,PANDA,DINÁMICO 1.2,2533380,25489,11
VAN,2012,FÍAT,DUCATO,MAXI CARGO L2H2,5667266,82759,11
Camioneta,2012,FÍAT,STRADA,1.4 C / EXT MT EN FUNCIONAMIENTO,3152651,32466,11
Hatchback,2012,FÍAT,BRAVO,DEPORTIVO T-JET TURBO,4813423,65682,11
Comercial,2012,FÍAT,FIORINO,CIUDAD AA,2927462,29275,11
Hatchback,2012,FÍAT,PUNTO,EVO DINÁMICO,3696859,43350,11
Hatchback,2012,FÍAT,GRANDE PUNTO,ARRANQUE / PARO ACTIVO,2871164,28712,11
Sedán,2012,FÍAT,LINEA,DINAMIAC TURBO,3359075,36595,11
Hatchback,2012,FÍAT,PUNTO,EVO SPROT,3809453,45602,11
Comercial,2013,FÍAT,UNO,CARGO MT,2514615,25489,10
Camioneta,2013,FÍAT,STRADA,1.6 D / C MT AVENTURA,4241066,54235,10
Hatchback,2013,FÍAT,CINQUECENTO,GUCCI CABRIO EN,5807997,85573,10
Hatchback,2013,FÍAT,GRANDE PUNTO,VERSIÓN SIN,3177469,32963,10
Camioneta,2013,FÍAT,STRADA,1.4 C / EXT MT TREKKING,3781305,45039,10
Sedán,2013,FÍAT,LINEA,ELX ACTIVO,3390533,37224,10
Camioneta,2013,FÍAT,STRADA,1.4 C / EXT MT TRABAJO AV,3365660,36726,10
VAN,2013,FÍAT,DUCATO,MAXI CARGO L3H2 DIESEL,7604677,136380,10
Hatchback,2013,FÍAT,CINQUECENTO,LOUNGE 1.4 EN P.PA,4184535,53104,10
Comercial,2013,FÍAT,FIORINO,VERSIÓN SIN,2523997,25489,10
Comercial,2013,FÍAT,DOBLO,CARGA,3975970,48933,10
VAN,2013,FÍAT,DUCATO,MAXI CARGO L2H2 DIESEL,7070713,120361,10
Hatchback,2013,FÍAT,CINQUECENTO,BLACKJACK 1.4 MT,4288715,55187,10
Comercial,2014,FÍAT,UNO,CARGO MT,2889930,28899,9
Sedán,2014,FÍAT,LINEA,ELX ACTIVO,3678093,42975,9
Hatchback,2014,FÍAT,CINQUECENTO,SALÓN 1.4 MT T.PA,4297364,55360,9
VAN,2014,FÍAT,DUCATO,MAXI CARGO L3H2 DIESEL,8285092,156792,9
Comercial,2014,FÍAT,DOBLO,CARGA,4372427,56862,9
Hatchback,2014,FÍAT,PALIO,ATRACTIVO EVO AA,3197958,33372,9
SUV,2014,FÍAT,500L,TREKKING,6329561,98126,9
SUV,2014,FÍAT,500L,TREKKING ELX,7038610,119398,9
Camioneta,2014,FÍAT,STRADA,1.4 C / EXT MT TRABAJO AV,3612413,41661,9
Sedán,2014,FÍAT,LINEA,TURBO DINÁMICO T-JET,3962792,48669,9
Hatchback,2014,FÍAT,CINQUECENTO,LOUNGE 1.4 EN P.PA,4522553,59864,9
Hatchback,2014,FÍAT,CINQUECENTO,BLACKJACK 1.4 MT,4635148,62116,9
Hatchback,2014,FÍAT,PALIO,EVO ATRACTIVO,3042382,30424,9
Comercial,2014,FÍAT,FIORINO,VERSIÓN SIN,2889930,28899,9
Camioneta,2014,FÍAT,STRADA,1.4 D / C MT EN FUNCIONAMIENTO,4203535,53484,9
Camioneta,2014,FÍAT,STRADA,1.6 D / C MT AVENTURA,4682062,63054,9
Hatchback,2014,FÍAT,CINQUECENTO,C 1.2 EN CABRIO,4635148,62116,9
Camioneta,2014,FÍAT,STRADA,1.4 TREKKING D / C MT,4463261,58678,9
Sedán,2014,FÍAT,LINEA,ACTIVO,3424755,37908,9
Comercial,2014,FÍAT,FIORINO,CIUDAD AA,3809453,45602,9
Camioneta,2014,FÍAT,STRADA,1.4 C / EXT MT TREKKING,4147237,52358,9
Hatchback,2014,FÍAT,CINQUECENTO,C 1.2 MT CABRIO,4522553,59864,9
VAN,2014,FÍAT,DUCATO,MAXI CARGO L3H2 AB DSEL,9456015,191920,9
Camioneta,2015,FÍAT,STRADA,1.4 D / C MT EN FUNCIONAMIENTO,4513170,59677,8
Hatchback,2015,FÍAT,BRAVO,1.4 TURBO DE 120 CV,6362744,99122,8
Hatchback,2015,FÍAT,UNO,MODO 1.4 ESTILO EVO 5P,4527503,59963,8
Comercial,2015,FÍAT,DOBLO,MAXI CARGO,5216887,73751,8
Hatchback,2015,FÍAT,CINQUECENTO,1.3 TREKKING JTD D,7185139,123794,8
Comercial,2015,FÍAT,DOBLO,CARGO AA,5216887,73751,8
Hatchback,2015,FÍAT,CINQUECENTO,SALÓN 1.4 MT T.PA,4728977,63993,8
